Image Path,Label
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1002_jpg.rf.1c9a31387bf99de4d1af59361d220eac.jpg,motorcycle 0.363281 0.1875 0.0484375 0.0328125
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1002_jpg.rf.1c9a31387bf99de4d1af59361d220eac.jpg,person 0.361719 0.15 0.021875 0.0320312
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1002_jpg.rf.1c9a31387bf99de4d1af59361d220eac.jpg,motorcycle 0.428125 0.184375 0.04375 0.03125
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1002_jpg.rf.1c9a31387bf99de4d1af59361d220eac.jpg,person 0.410938 0.141406 0.0117188 0.0257812
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1002_jpg.rf.1c9a31387bf99de4d1af59361d220eac.jpg,motorcycle 0.319531 0.164062 0.0210938 0.0289063
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1002_jpg.rf.1c9a31387bf99de4d1af59361d220eac.jpg,person 0.319531 0.127344 0.0171875 0.0328125
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1005_jpg.rf.710d829738454e1b3d2717d76319a34f.jpg,motorcycle 0.360938 0.1875 0.0585938 0.0320312
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1005_jpg.rf.710d829738454e1b3d2717d76319a34f.jpg,motorcycle 0.426563 0.182812 0.0421875 0.0382813
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1005_jpg.rf.710d829738454e1b3d2717d76319a34f.jpg,person 0.403125 0.14375 0.0296875 0.0257812
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1005_jpg.rf.710d829738454e1b3d2717d76319a34f.jpg,person 0.357812 0.147656 0.0203125 0.0289063
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1005_jpg.rf.710d829738454e1b3d2717d76319a34f.jpg,motorcycle 0.274219 0.176563 0.0359375 0.0289063
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1005_jpg.rf.710d829738454e1b3d2717d76319a34f.jpg,motorcycle 0.210156 0.167969 0.0265625 0.0226562
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1005_jpg.rf.710d829738454e1b3d2717d76319a34f.jpg,motorcycle 0.24375 0.15 0.01875 0.0171875
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1005_jpg.rf.710d829738454e1b3d2717d76319a34f.jpg,motorcycle 0.325 0.15625 0.021875 0.0242188
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1005_jpg.rf.710d829738454e1b3d2717d76319a34f.jpg,person 0.333594 0.128125 0.0148437 0.0164063
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1005_jpg.rf.710d829738454e1b3d2717d76319a34f.jpg,person 0.278906 0.136719 0.0195312 0.0273438
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1005_jpg.rf.710d829738454e1b3d2717d76319a34f.jpg,person 0.234375 0.126562 0.0117188 0.0179687
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1005_jpg.rf.710d829738454e1b3d2717d76319a34f.jpg,person 0.203906 0.135937 0.0109375 0.0273438
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1014_jpg.rf.d042abb06bd43274c64e45d22debff89.jpg,motorcycle 0.3625 0.186719 0.0632812 0.0289063
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1014_jpg.rf.d042abb06bd43274c64e45d22debff89.jpg,motorcycle 0.428125 0.183594 0.0507812 0.0296875
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1014_jpg.rf.d042abb06bd43274c64e45d22debff89.jpg,person 0.359375 0.147656 0.0171875 0.0320312
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1014_jpg.rf.d042abb06bd43274c64e45d22debff89.jpg,person 0.403906 0.135937 0.0132812 0.0304687
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1014_jpg.rf.d042abb06bd43274c64e45d22debff89.jpg,motorcycle 0.28125 0.167969 0.0421875 0.025
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1014_jpg.rf.d042abb06bd43274c64e45d22debff89.jpg,motorcycle 0.323437 0.158594 0.015625 0.0226562
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1014_jpg.rf.d042abb06bd43274c64e45d22debff89.jpg,person 0.314844 0.126562 0.0148437 0.0203125
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1014_jpg.rf.d042abb06bd43274c64e45d22debff89.jpg,person 0.278125 0.124219 0.0140625 0.028125
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1014_jpg.rf.d042abb06bd43274c64e45d22debff89.jpg,motorcycle 0.214062 0.157812 0.025 0.0304687
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1014_jpg.rf.d042abb06bd43274c64e45d22debff89.jpg,person 0.203906 0.130469 0.0140625 0.0289063
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1014_jpg.rf.d042abb06bd43274c64e45d22debff89.jpg,motorcycle 0.249219 0.146094 0.0140625 0.021875
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1014_jpg.rf.d042abb06bd43274c64e45d22debff89.jpg,person 0.241406 0.114844 0.0148437 0.0210938
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1015_jpg.rf.502a8594f4265a417fdeeaea64d00b87.jpg,motorcycle 0.442188 0.185156 0.0429688 0.0257812
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1015_jpg.rf.502a8594f4265a417fdeeaea64d00b87.jpg,motorcycle 0.367969 0.188281 0.040625 0.0164063
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1015_jpg.rf.502a8594f4265a417fdeeaea64d00b87.jpg,motorcycle 0.271094 0.175781 0.0421875 0.0171875
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1015_jpg.rf.502a8594f4265a417fdeeaea64d00b87.jpg,motorcycle 0.213281 0.170313 0.0359375 0.0171875
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1015_jpg.rf.502a8594f4265a417fdeeaea64d00b87.jpg,motorcycle 0.246875 0.147656 0.009375 0.028125
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1015_jpg.rf.502a8594f4265a417fdeeaea64d00b87.jpg,motorcycle 0.325781 0.155469 0.0171875 0.0125
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1015_jpg.rf.502a8594f4265a417fdeeaea64d00b87.jpg,person 0.410938 0.146875 0.0195312 0.03125
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1015_jpg.rf.502a8594f4265a417fdeeaea64d00b87.jpg,person 0.357031 0.149219 0.0304687 0.03125
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1015_jpg.rf.502a8594f4265a417fdeeaea64d00b87.jpg,person 0.315625 0.126562 0.0171875 0.0226562
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1015_jpg.rf.502a8594f4265a417fdeeaea64d00b87.jpg,person 0.271094 0.139063 0.0179687 0.028125
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1015_jpg.rf.502a8594f4265a417fdeeaea64d00b87.jpg,person 0.203906 0.13125 0.0148437 0.0335937
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1015_jpg.rf.502a8594f4265a417fdeeaea64d00b87.jpg,person 0.245312 0.117188 0.009375 0.0164063
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1020_jpg.rf.78ae8018c5985e9a50a7287289e2c361.jpg,motorcycle 0.369531 0.1875 0.0507812 0.0296875
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1020_jpg.rf.78ae8018c5985e9a50a7287289e2c361.jpg,motorcycle 0.438281 0.178125 0.0476562 0.03125
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1020_jpg.rf.78ae8018c5985e9a50a7287289e2c361.jpg,person 0.407813 0.134375 0.0171875 0.025
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1020_jpg.rf.78ae8018c5985e9a50a7287289e2c361.jpg,person 0.358594 0.141406 0.0226562 0.0375
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1020_jpg.rf.78ae8018c5985e9a50a7287289e2c361.jpg,motorcycle 0.321875 0.1625 0.0265625 0.0335937
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1020_jpg.rf.78ae8018c5985e9a50a7287289e2c361.jpg,person 0.314063 0.122656 0.0140625 0.0234375
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1020_jpg.rf.78ae8018c5985e9a50a7287289e2c361.jpg,motorcycle 0.271094 0.166406 0.0328125 0.0289063
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1020_jpg.rf.78ae8018c5985e9a50a7287289e2c361.jpg,person 0.272656 0.130469 0.0179687 0.025
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1020_jpg.rf.78ae8018c5985e9a50a7287289e2c361.jpg,motorcycle 0.208594 0.165625 0.0375 0.0234375
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1020_jpg.rf.78ae8018c5985e9a50a7287289e2c361.jpg,person 0.202344 0.127344 0.0257812 0.0234375
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1020_jpg.rf.78ae8018c5985e9a50a7287289e2c361.jpg,motorcycle 0.245312 0.149219 0.0148437 0.0304687
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1020_jpg.rf.78ae8018c5985e9a50a7287289e2c361.jpg,person 0.235937 0.117969 0.0171875 0.0195312
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1028_jpg.rf.e19190fb5746a16756ee55d8c1dc0905.jpg,motorcycle 0.439063 0.18125 0.0507812 0.0382813
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1028_jpg.rf.e19190fb5746a16756ee55d8c1dc0905.jpg,motorcycle 0.357031 0.182812 0.0507812 0.0328125
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1028_jpg.rf.e19190fb5746a16756ee55d8c1dc0905.jpg,motorcycle 0.282813 0.165625 0.0320312 0.028125
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1028_jpg.rf.e19190fb5746a16756ee55d8c1dc0905.jpg,motorcycle 0.215625 0.158594 0.0296875 0.0242188
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1028_jpg.rf.e19190fb5746a16756ee55d8c1dc0905.jpg,motorcycle 0.253125 0.151562 0.0171875 0.0289063
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1028_jpg.rf.e19190fb5746a16756ee55d8c1dc0905.jpg,motorcycle 0.326562 0.1625 0.00625 0.0132812
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1028_jpg.rf.e19190fb5746a16756ee55d8c1dc0905.jpg,person 0.414062 0.138281 0.0328125 0.0296875
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1028_jpg.rf.e19190fb5746a16756ee55d8c1dc0905.jpg,person 0.360156 0.141406 0.0296875 0.028125
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1028_jpg.rf.e19190fb5746a16756ee55d8c1dc0905.jpg,person 0.313281 0.129688 0.0125 0.0289063
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1028_jpg.rf.e19190fb5746a16756ee55d8c1dc0905.jpg,person 0.275781 0.133594 0.0179687 0.0273438
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1028_jpg.rf.e19190fb5746a16756ee55d8c1dc0905.jpg,person 0.240625 0.121875 0.0179687 0.0203125
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1028_jpg.rf.e19190fb5746a16756ee55d8c1dc0905.jpg,person 0.207031 0.122656 0.01875 0.0296875
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1035_jpg.rf.c6f455dc7bf231f58d61a7b562dc80a6.jpg,motorcycle 0.434375 0.183594 0.0546875 0.0304687
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1035_jpg.rf.c6f455dc7bf231f58d61a7b562dc80a6.jpg,motorcycle 0.358594 0.185156 0.0601563 0.0375
../../datasets/raw/Roboflow/images\2022_0310_161409_048A-c1035_jpg.rf.c6f455dc7bf231f58d61a7b562dc80a6.jpg,motorcycle 0.276562 0.178906 0.0507812 0.0296875
