Image Path,Label
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,tricycle 0.954688 0.689252 0.0859375 0.116822
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,van 0.721875 0.560748 0.0953125 0.114486
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,tricycle 0.367188 0.663551 0.05625 0.10514
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,motorcycle 0.282813 0.481308 0.0171875 0.0373832
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,motorcycle 0.401562 0.53271 0.01875 0.0490654
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,motorcycle 0.675 0.476636 0.0234375 0.0397196
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,motorcycle 0.696875 0.46028 0.0171875 0.0303738
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,motorcycle 0.339062 0.331776 0.0078125 0.0140187
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,motorcycle 0.401562 0.308411 0.00625 0.00934579
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,motorcycle 0.478125 0.331776 0.0078125 0.0163551
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,taxi 0.298438 0.310748 0.0140625 0.0163551
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,pickup 0.315625 0.308411 0.0140625 0.0233645
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,bus 0.282813 0.299065 0.01875 0.0373832
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,bus 0.279687 0.273364 0.0171875 0.0140187
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,tricycle 0.329688 0.436916 0.021875 0.046729
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,tricycle 0.30625 0.380841 0.0171875 0.0303738
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,tricycle 0.495312 0.39486 0.021875 0.0350467
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,tricycle 0.43125 0.343458 0.0125 0.0257009
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,suv 0.414062 0.345794 0.021875 0.0303738
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,car 0.367188 0.415888 0.03125 0.0327103
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,car 0.304688 0.336449 0.0171875 0.0233645
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,car 0.415625 0.315421 0.0171875 0.0186916
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,car 0.371875 0.315421 0.0140625 0.021028
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,car 0.323437 0.292056 0.0078125 0.00934579
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,car 0.3125 0.273364 0.0078125 0.00934579
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,car 0.339062 0.280374 0.009375 0.0116822
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,car 0.303125 0.294393 0.00625 0.0116822
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,tricycle 0.390625 0.310748 0.009375 0.0163551
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,car 0.357812 0.348131 0.0203125 0.0257009
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,tricycle 0.360938 0.287383 0.0046875 0.0116822
../../datasets/raw/Traffic/images/02_jpg.rf.65a084066fc353cd023eb5c953f40efe.jpg,bus 0.5125 0.359813 0.0515625 0.0443925
../../datasets/raw/Traffic/images/03_jpg.rf.4532f2db68433995da09f54e215160f3.jpg,truck 0.757812 0.366667 0.259375 0.655556
../../datasets/raw/Traffic/images/03_jpg.rf.4532f2db68433995da09f54e215160f3.jpg,bus 0.56875 0.408333 0.151562 0.444444
../../datasets/raw/Traffic/images/03_jpg.rf.4532f2db68433995da09f54e215160f3.jpg,rickshaw 0.921875 0.497222 0.03125 0.0888889
../../datasets/raw/Traffic/images/03_jpg.rf.4532f2db68433995da09f54e215160f3.jpg,truck 0.879687 0.438889 0.03125 0.186111
../../datasets/raw/Traffic/images/03_jpg.rf.4532f2db68433995da09f54e215160f3.jpg,motorcycle 0.867188 0.555556 0.0203125 0.105556
../../datasets/raw/Traffic/images/04_jpg.rf.c0b83432c4d09c7cbeaac18e14c4a54a.jpg,pickup 0.0851563 0.719792 0.170313 0.55625
../../datasets/raw/Traffic/images/04_jpg.rf.c0b83432c4d09c7cbeaac18e14c4a54a.jpg,rickshaw 0.957812 0.704167 0.0796875 0.1125
../../datasets/raw/Traffic/images/04_jpg.rf.c0b83432c4d09c7cbeaac18e14c4a54a.jpg,bus 0.49375 0.658333 0.473438 0.572917
../../datasets/raw/Traffic/images/04_jpg.rf.c0b83432c4d09c7cbeaac18e14c4a54a.jpg,suv 0.903125 0.629167 0.189062 0.09375
../../datasets/raw/Traffic/images/04_jpg.rf.c0b83432c4d09c7cbeaac18e14c4a54a.jpg,car 0.890625 0.552083 0.15 0.0520833
../../datasets/raw/Traffic/images/04_jpg.rf.c0b83432c4d09c7cbeaac18e14c4a54a.jpg,motorcycle 0.25 0.5 0.0421875 0.116667
../../datasets/raw/Traffic/images/04_jpg.rf.c0b83432c4d09c7cbeaac18e14c4a54a.jpg,bus 0.817187 0.3375 0.19375 0.325
../../datasets/raw/Traffic/images/04_jpg.rf.c0b83432c4d09c7cbeaac18e14c4a54a.jpg,bus 0.564063 0.272917 0.2 0.285417
../../datasets/raw/Traffic/images/04_jpg.rf.c0b83432c4d09c7cbeaac18e14c4a54a.jpg,bus 0.389062 0.2375 0.154688 0.225
../../datasets/raw/Traffic/images/04_jpg.rf.c0b83432c4d09c7cbeaac18e14c4a54a.jpg,bus 0.85 0.1 0.139063 0.0979167
../../datasets/raw/Traffic/images/04_jpg.rf.c0b83432c4d09c7cbeaac18e14c4a54a.jpg,bus 0.670312 0.0770833 0.126562 0.1125
../../datasets/raw/Traffic/images/04_jpg.rf.c0b83432c4d09c7cbeaac18e14c4a54a.jpg,pickup 0.109375 0.277083 0.096875 0.0854167
../../datasets/raw/Traffic/images/04_jpg.rf.c0b83432c4d09c7cbeaac18e14c4a54a.jpg,bus 0.13125 0.0875 0.159375 0.141667
../../datasets/raw/Traffic/images/04_jpg.rf.c0b83432c4d09c7cbeaac18e14c4a54a.jpg,bus 0.464062 0.0895833 0.171875 0.05625
../../datasets/raw/Traffic/images/04_jpg.rf.c0b83432c4d09c7cbeaac18e14c4a54a.jpg,rickshaw 0.69375 0.354167 0.05 0.16875
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,car 0.879687 0.830986 0.09375 0.157277
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,car 0.251563 0.840376 0.15 0.140845
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,tricycle 0.484375 0.704225 0.0546875 0.0962441
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,suv 0.38125 0.704225 0.04375 0.119718
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,rickshaw 0.353125 0.671362 0.0140625 0.0704225
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,car 0.503125 0.643192 0.0375 0.0258216
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,car 0.473438 0.619718 0.05625 0.0399061
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,motorcycle 0.459375 0.58216 0.021875 0.0352113
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,car 0.548438 0.600939 0.0484375 0.0492958
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,car 0.501563 0.58216 0.0453125 0.0328638
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,car 0.575 0.553991 0.01875 0.0422535
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,van 0.523438 0.546948 0.04375 0.0399061
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,motorcycle 0.49375 0.556338 0.0109375 0.0140845
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,minivan 0.554688 0.535211 0.01875 0.0446009
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,tricycle 0.503125 0.504695 0.0171875 0.0305164
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,tricycle 0.540625 0.488263 0.0171875 0.028169
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,tricycle 0.56875 0.483568 0.015625 0.0258216
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,tricycle 0.590625 0.478873 0.0125 0.0258216
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,tricycle 0.603125 0.483568 0.0125 0.0258216
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,tricycle 0.70625 0.471831 0.0109375 0.0234742
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,tricycle 0.7875 0.57277 0.0234375 0.0516432
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,car 0.621875 0.471831 0.015625 0.0187793
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,car 0.609375 0.462441 0.0125 0.0164319
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,car 0.634375 0.460094 0.0078125 0.0164319
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,car 0.720313 0.481221 0.0140625 0.0211268
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,car 0.7375 0.495305 0.009375 0.028169
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,car 0.679688 0.443662 0.009375 0.0117371
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,car 0.664062 0.464789 0.0140625 0.00704225
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,motorcycle 0.65625 0.523474 0.0140625 0.0258216
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,bus 0.689063 0.460094 0.0171875 0.0164319
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,pickup 0.678125 0.476526 0.0171875 0.0164319
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,pickup 0.68125 0.516432 0.03125 0.0610329
../../datasets/raw/Traffic/images/05_jpg.rf.11a2e7ce391a1e74960099f7923f27f5.jpg,pickup 0.714063 0.434272 0.009375 0.0140845
../../datasets/raw/Traffic/images/06_jpeg.rf.14bdc2005d8029bbe9f24fad4b6af7ea.jpg,truck 0.792188 0.464674 0.409375 0.782609
