               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087702,            0.050414,            0.060936,             0.69186,            0.081986,            0.061801,             0.02456,            0.071587,            0.037385,            0.044798,            0.070248,           0.0033058,           0.0033058
                   1,            0.067298,            0.042156,             0.04061,             0.69791,             0.15959,             0.13912,             0.05716,             0.06846,            0.031708,             0.03079,             0.03981,           0.0062009,           0.0062009
                   2,            0.064493,            0.038729,            0.032179,             0.75072,             0.17015,             0.14149,            0.058789,            0.064402,             0.03232,            0.024987,           0.0089316,           0.0086561,           0.0086561
                   3,            0.058459,            0.038904,            0.027912,             0.77406,             0.18899,             0.21462,            0.095414,            0.056611,            0.031586,            0.023151,             0.00802,             0.00802,             0.00802
                   4,            0.054904,            0.039253,            0.025655,             0.76593,             0.21987,             0.22889,             0.11178,            0.053367,            0.031101,            0.022094,             0.00802,             0.00802,             0.00802
                   5,            0.051751,            0.038299,             0.02424,             0.78768,             0.22671,             0.26569,             0.13187,            0.051267,            0.030817,            0.020016,             0.00736,             0.00736,             0.00736
                   6,            0.050033,            0.037643,            0.022393,             0.56479,             0.28596,             0.26225,             0.13474,            0.050887,            0.031154,            0.020175,              0.0067,              0.0067,              0.0067
                   7,            0.048438,            0.037765,             0.02168,             0.59331,             0.29458,             0.27683,             0.14899,            0.049688,            0.030843,            0.019182,             0.00604,             0.00604,             0.00604
                   8,            0.047411,            0.036979,            0.020577,             0.60855,             0.31062,              0.2871,             0.15607,            0.049198,             0.02985,            0.018887,             0.00538,             0.00538,             0.00538
                   9,             0.04603,            0.036648,            0.019624,             0.60141,             0.32923,             0.29164,             0.16051,            0.049008,            0.030062,            0.018151,             0.00472,             0.00472,             0.00472
                  10,            0.045056,            0.035154,            0.018578,             0.62788,             0.32127,             0.30608,             0.17341,            0.047271,            0.029612,            0.017107,             0.00406,             0.00406,             0.00406
                  11,            0.043578,            0.035009,            0.017784,             0.63669,             0.33282,             0.31482,             0.17856,            0.047382,            0.029348,            0.016945,              0.0034,              0.0034,              0.0034
                  12,            0.042826,            0.035539,            0.017147,             0.63914,             0.33291,             0.31276,             0.17472,            0.046832,            0.029238,            0.016679,             0.00274,             0.00274,             0.00274
                  13,            0.042061,            0.034186,            0.016454,             0.63971,             0.34015,             0.31946,             0.18405,            0.045992,            0.028993,            0.016261,             0.00208,             0.00208,             0.00208
                  14,            0.041036,            0.034282,            0.016273,             0.65738,             0.33991,             0.33139,             0.19146,            0.045714,            0.028447,            0.016181,             0.00142,             0.00142,             0.00142
