               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087856,            0.051328,            0.056208,              0.2787,             0.14781,            0.068472,            0.026001,            0.071494,            0.041621,            0.042624,            0.070124,           0.0033195,           0.0033195
                   1,            0.065237,            0.040496,            0.039437,             0.46552,             0.23946,             0.15736,            0.068836,            0.063356,            0.035313,            0.029698,            0.039466,           0.0059942,           0.0059942
                   2,            0.058809,            0.035759,            0.029706,             0.62012,             0.28459,             0.29913,             0.13661,            0.055857,            0.032875,             0.02273,           0.0081472,           0.0080089,           0.0080089
                   3,            0.053057,            0.037073,            0.025561,             0.63426,             0.34424,             0.36232,             0.18214,            0.053633,            0.031526,            0.019301,             0.00703,             0.00703,             0.00703
                   4,            0.048796,            0.033773,            0.020543,             0.51471,             0.43223,               0.419,             0.20972,             0.04977,            0.030191,            0.017377,             0.00703,             0.00703,             0.00703
                   5,             0.04457,            0.032818,            0.018094,              0.5529,             0.47609,             0.45585,             0.24895,             0.04658,            0.029141,            0.015083,             0.00604,             0.00604,             0.00604
                   6,             0.04387,            0.033466,            0.018011,             0.60192,             0.48605,             0.48444,             0.28044,            0.044986,            0.028335,            0.013191,             0.00505,             0.00505,             0.00505
                   7,            0.042011,            0.032868,             0.01643,             0.64154,             0.52014,             0.52232,              0.3077,            0.043335,            0.027755,            0.011596,             0.00406,             0.00406,             0.00406
                   8,            0.040619,            0.031652,            0.014872,             0.63406,             0.52926,             0.53567,             0.32545,            0.041778,             0.02736,            0.011428,             0.00307,             0.00307,             0.00307
                   9,            0.038576,            0.031521,            0.013812,             0.67618,             0.55314,             0.56867,             0.35217,            0.040739,            0.026216,           0.0098867,             0.00208,             0.00208,             0.00208
